"","a1","a10","a11","a12","a13","a14","a15","a16","a17","a2","a4","a6","a7","a8","a9","b1","b10","b11","b12","b13","b14","b15","b16","b17","b2","b4","b6","b7","b8","b9","c1","c10","c11","c12","c13","c14","c15","c16","c17","c2","c4","c6","c7","c8","c9"
"ME104543",1220,4050,3580,76900,1970000,3230,13400,65500,2840,29400,13500,2900,15900,8440,2560,4360,22800,17800,17400000,442000,4300,27300,7500000,3110,1190000,34300,409000,2880,15800,161000,8660,7620,6050,48700,1140000,9310,12600,3310,2590,33800,4850,4870000,27100,3950000,3140
"ME104544",2030,2500,690000,3600,2130,NA,14600,1600,NA,7990,9150,2070,3450,NA,NA,5840,2750,6110,3140,2720,2100,9960,1550,NA,18400,1480,2090,2320,1590,NA,2870,2880,6460,1380,2960,8400,39300,2080,NA,3510,2080,16300,NA,NA,2940
"ME104545",1560000,2650000,3020000,1540000,3170000,2120000,2960000,2e+06,1430000,2340000,2370000,2630000,2020000,2390000,1130000,3320000,2060000,2420000,2e+06,3540000,2430000,3030000,1790000,1810000,3060000,2030000,1880000,2140000,2630000,1500000,2560000,2420000,2240000,2360000,3900000,3320000,2400000,2130000,2130000,3450000,1910000,2570000,3130000,3240000,1810000
"ME104546",7360000,16300000,35700000,52600000,19400000,9590000,25400000,10200000,9050000,3.8e+07,33400000,14100000,16400000,19600000,5690000,35100000,32400000,53300000,45400000,19200000,26800000,29900000,9250000,7800000,36400000,50100000,2.2e+07,13200000,28600000,11600000,11900000,23100000,42900000,50100000,22900000,2e+07,42300000,10100000,9430000,37600000,18700000,33200000,13900000,26300000,10900000
"ME104547",1960000,1430000,11900000,6140000,1730000,1430000,4400000,2940000,1830000,10100000,1580000,2200000,8070000,1850000,1230000,6020000,6440000,23900000,4380000,1720000,3170000,14400000,1630000,4310000,7600000,3220000,2840000,2390000,6390000,694000,6400000,6340000,6770000,6390000,3350000,4870000,7190000,3600000,2380000,2660000,3650000,8290000,642000,2130000,2280000
"ME104548",238000,226000,2490000,2050000,537000,242000,915000,381000,265000,1910000,2140000,102000,910000,1590000,80200,1920000,1060000,931000,2780000,469000,575000,474000,152000,273000,2870000,2660000,351000,284000,2160000,378000,720000,364000,2490000,1310000,1080000,748000,1540000,695000,357000,2400000,430000,434000,287000,2760000,707000
"ME104549",220000,697000,1210000,1510000,1e+06,148000,1060000,922000,94600,2270000,1240000,407000,749000,717000,137000,678000,793000,2060000,1510000,717000,831000,1010000,546000,183000,1370000,716000,908000,528000,1030000,1e+05,243000,447000,801000,1980000,960000,679000,1810000,541000,95500,1710000,193000,1680000,503000,173000,302000
"ME104550",21700,1040000,1560000,3300000,321000,386000,6770000,891000,1160000,906000,329000,306000,1520000,116000,253000,111000,2940000,2510000,598000,321000,108000,5150000,119000,555000,463000,835000,391000,504000,410000,1020000,74400,364000,4390000,7710000,414000,1660000,1530000,393000,657000,231000,71600,849000,530000,599000,1260000
"ME104551",27000,39700,105000,55200,5360,6920,175000,10400,10600,194000,137000,4710,229000,152000,4250,41400,315000,275000,13800,9130,20100,345000,1310,26500,444000,293000,14600,57500,244000,1960,19700,55800,20900,84200,6240,153000,683000,11400,36600,87100,10900,11500,178000,220000,15300
"ME104552",946,12000,6660,19900,6460,1690,17500,12800,NA,26500,18200,16500,1980,105000,1070,36900,14100,104000,14000,11700,5210,20300,8880,1270,1800000,75100,8540,7760,15200,2060,4530,7280,4730,8640,24700,4370,2900,103000,16500,406000,6900,11900,3210,13700,2320
"ME104553",2200,3650,37600,351000,15700,17000,57700,4950,2080,9720,37600,12200,10400,92700,914,22900,9470,109000,142000,27400,20500,81600,5300,1250,34200,160000,15200,9680,67900,8290,16100,78700,35200,110000,23900,65800,66700,4880,1880,48500,7390,70700,4990,91100,10700
"ME104554",2260000,5780000,11300000,19100000,6630000,4060000,10900000,4960000,3330000,12700000,9270000,4950000,5200000,7220000,2520000,8310000,10100000,1.3e+07,14900000,5370000,8780000,10500000,4030000,4840000,10600000,13600000,7010000,4950000,8480000,3660000,3170000,6920000,13300000,16900000,6080000,7100000,13100000,3660000,4790000,12600000,5840000,1e+07,5340000,7400000,3680000
"ME104555",324000,1210000,777000,215000,54500,97600,54300,82300,80800,288000,192000,123000,115000,934000,55900,161000,79100,182000,420000,220000,145000,33700,56500,60600,2e+05,117000,135000,439000,58500,83500,282000,2050000,1610000,169000,2460000,126000,860000,66800,66100,37300,109000,16000,48400,36400,65300
"ME104556",4870000,7430000,13100000,18600000,1e+07,3860000,9750000,7220000,3530000,26600000,11600000,6160000,7620000,9810000,5970000,16400000,10200000,14700000,14600000,12200000,6890000,10200000,4770000,5050000,11600000,23400000,8230000,9450000,1e+07,6200000,7790000,7960000,11500000,16400000,18700000,4750000,12600000,5090000,3310000,15900000,7300000,9920000,7980000,10700000,5090000
"ME104557",10800,33600,47000,187000,1330000,11100,185000,NA,16700,21000,81400,114000,173000,12200,1590,35700,81000,63100,268000,94100,238000,89600,NA,93500,63800,11900,22700,56500,98000,17300,NA,60400,12600,2700,18800,8270000,12600,4460,1760,1790,139000,10300,20600,2400,NA
"ME104558",782000,1300000,4520000,4620000,2080000,502000,3210000,1640000,650000,4030000,2340000,582000,1550000,2540000,329000,5440000,3260000,5050000,5320000,2670000,1500000,3650000,860000,953000,2780000,3e+06,1640000,973000,4360000,438000,1600000,1890000,2320000,5080000,2300000,1760000,4950000,883000,945000,3640000,1420000,3240000,1210000,2710000,795000
"ME104559",9680000,22100000,42900000,1.12e+08,29300000,10900000,5e+07,19700000,9480000,60300000,37400000,30600000,27200000,43300000,6730000,46600000,51800000,52900000,77600000,29100000,29100000,48200000,20200000,10700000,51700000,96600000,32900000,24900000,38200000,11100000,17200000,41900000,41100000,9e+07,33900000,20400000,88800000,1.5e+07,12800000,56600000,2.7e+07,45200000,19800000,4e+07,11100000
